"","date","revenue","lag1","lag2","lag3","lag4","lag5","lag6","lag1month","lag2month","lag3month","lag12month","lag1year"
"1",2000-01-01,2409000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2000-01-02,1809000,2409000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2000-01-03,763667,1809000,2409000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2000-01-04,658918,763667,1809000,2409000,NA,NA,NA,NA,NA,NA,NA,NA
"5",2000-01-05,573429,658918,763667,1809000,2409000,NA,NA,NA,NA,NA,NA,NA
"6",2000-01-06,550405,573429,658918,763667,1809000,2409000,NA,NA,NA,NA,NA,NA
"7",2000-01-07,1042000,550405,573429,658918,763667,1809000,2409000,NA,NA,NA,NA,NA
"8",2000-01-08,1637000,1042000,550405,573429,658918,763667,1809000,NA,NA,NA,NA,NA
"9",2000-01-09,937000,1637000,1042000,550405,573429,658918,763667,NA,NA,NA,NA,NA
"10",2000-01-10,258075,937000,1637000,1042000,550405,573429,658918,NA,NA,NA,NA,NA
"11",2000-01-11,337645,258075,937000,1637000,1042000,550405,573429,NA,NA,NA,NA,NA
"12",2000-01-12,2988747,337645,258075,937000,1637000,1042000,550405,NA,NA,NA,NA,NA
"13",2000-01-13,2025798,2988747,337645,258075,937000,1637000,1042000,NA,NA,NA,NA,NA
"14",2000-01-14,4353000,2025798,2988747,337645,258075,937000,1637000,NA,NA,NA,NA,NA
"15",2000-01-15,5609000,4353000,2025798,2988747,337645,258075,937000,NA,NA,NA,NA,NA
"16",2000-01-16,4503000,5609000,4353000,2025798,2988747,337645,258075,NA,NA,NA,NA,NA
"17",2000-01-17,2885525,4503000,5609000,4353000,2025798,2988747,337645,NA,NA,NA,NA,NA
"18",2000-01-18,1029559,2885525,4503000,5609000,4353000,2025798,2988747,NA,NA,NA,NA,NA
"19",2000-01-19,874361,1029559,2885525,4503000,5609000,4353000,2025798,NA,NA,NA,NA,NA
"20",2000-01-20,874005,874361,1029559,2885525,4503000,5609000,4353000,NA,NA,NA,NA,NA
"21",2000-01-21,2526000,874005,874361,1029559,2885525,4503000,5609000,NA,NA,NA,NA,NA
"22",2000-01-22,3368000,2526000,874005,874361,1029559,2885525,4503000,NA,NA,NA,NA,NA
"23",2000-01-23,2350000,3368000,2526000,874005,874361,1029559,2885525,NA,NA,NA,NA,NA
